pan, gain, left, right
0, 0, 0.0, 0.0
0, 2, 0.0, 0.0
0, 3, 0.0, 0.0
0, 4, 0.0, 0.0
0, 5, 0.0, 0.0
0, 6, 0.0, 0.0
0, 7, 0.0, 0.0
0, 8, 0.0, 0.0
0, 9, 0.0, 0.0
0, 10, 0.0, 0.0
0, 11, 0.0, 0.0
0, 12, 0.0, 0.0
0, 13, 0.0, 0.0
0, 14, 0.0, 0.0
0, 15, 0.0, 0.0
0, 16, 0.202, 0.0
0, 17, 0.202, 0.0
0, 18, 0.202, 0.0
0, 19, 0.202, 0.0
0, 20, 0.202, 0.0
0, 21, 0.202, 0.0
0, 22, 0.265, 0.0
0, 23, 0.265, 0.0
0, 24, 0.265, 0.0
0, 25, 0.265, 0.0
0, 26, 0.265, 0.0
0, 27, 0.301, 0.0
0, 28, 0.301, 0.0
0, 29, 0.301, 0.0
0, 30, 0.326, 0.0
0, 31, 0.326, 0.0
0, 32, 0.347, 0.0
0, 33, 0.347, 0.0
0, 34, 0.362, 0.0
0, 35, 0.362, 0.0
0, 36, 0.377, 0.0
0, 37, 0.389, 0.0
0, 38, 0.398, 0.0
0, 39, 0.408, 0.0
0, 40, 0.418, 0.0
0, 41, 0.425, 0.0
0, 42, 0.432, 0.0
0, 43, 0.439, 0.0
0, 44, 0.452, 0.0
0, 45, 0.461, 0.0
0, 46, 0.466, 0.0
0, 47, 0.476, 0.0
0, 48, 0.488, 0.0
0, 49, 0.495, 0.0
0, 50, 0.511, 0.0
0, 51, 0.527, 0.0
0, 52, 0.549, 0.0
0, 53, 0.56, 0.0
0, 54, 0.565, 0.0
0, 55, 0.571, 0.0
0, 56, 0.582, 0.0
0, 57, 0.592, 0.0
0, 58, 0.603, 0.0
0, 59, 0.614, 0.0
0, 60, 0.62, 0.0
0, 61, 0.636, 0.0
0, 62, 0.647, 0.0
0, 63, 0.652, 0.0
0, 64, 0.663, 0.0
0, 65, 0.668, 0.0
0, 66, 0.685, 0.0
0, 67, 0.69, 0.0
0, 68, 0.701, 0.0
0, 69, 0.712, 0.0
0, 70, 0.717, 0.0
0, 71, 0.728, 0.0
0, 72, 0.739, 0.0
0, 73, 0.75, 0.0
0, 74, 0.761, 0.0
0, 75, 0.766, 0.0
0, 76, 0.777, 0.0
0, 77, 0.788, 0.0
0, 78, 0.799, 0.0
0, 79, 0.81, 0.0
0, 80, 0.815, 0.0
0, 81, 0.826, 0.0
0, 82, 0.837, 0.0
0, 83, 0.848, 0.0
0, 84, 0.853, 0.0
0, 85, 0.864, 0.0
0, 86, 0.875, 0.0
0, 87, 0.886, 0.0
0, 88, 0.897, 0.0
0, 89, 0.902, 0.0
0, 90, 0.913, 0.0
0, 91, 0.924, 0.0
0, 92, 0.935, 0.0
0, 93, 0.94, 0.0
0, 94, 0.951, 0.0
0, 95, 0.962, 0.0
0, 96, 0.973, 0.0
0, 97, 0.978, 0.0
0, 98, 0.989, 0.0
0, 99, 1.0, 0.0
1, 0, 0.0, 0.0
1, 2, 0.0, 0.0
1, 3, 0.0, 0.0
1, 4, 0.0, 0.0
1, 5, 0.0, 0.0
1, 6, 0.0, 0.0
1, 7, 0.0, 0.0
1, 8, 0.0, 0.0
1, 9, 0.0, 0.0
1, 10, 0.0, 0.0
1, 11, 0.0, 0.0
1, 12, 0.0, 0.0
1, 13, 0.0, 0.0
1, 14, 0.0, 0.0
1, 15, 0.0, 0.0
1, 16, 0.202, 0.0
1, 17, 0.202, 0.0
1, 18, 0.202, 0.0
1, 19, 0.202, 0.0
1, 20, 0.202, 0.0
1, 21, 0.202, 0.0
1, 22, 0.265, 0.0
1, 23, 0.265, 0.0
1, 24, 0.265, 0.0
1, 25, 0.265, 0.0
1, 26, 0.265, 0.0
1, 27, 0.301, 0.0
1, 28, 0.301, 0.0
1, 29, 0.301, 0.0
1, 30, 0.326, 0.0
1, 31, 0.326, 0.0
1, 32, 0.347, 0.0
1, 33, 0.347, 0.0
1, 34, 0.362, 0.0
1, 35, 0.362, 0.0
1, 36, 0.377, 0.0
1, 37, 0.389, 0.0
1, 38, 0.398, 0.0
1, 39, 0.408, 0.0
